,North America,,"36,453,244","+6,115","830,579",+616,"28,198,785","+4,055","7,423,880","15,950",,,,,,North America,,,,
,South America,,"21,956,794","+1,076","577,701",+19,"19,677,486","+1,025","1,701,607","21,618",,,,,,South America,,,,
,Asia,,"30,071,247","+14,633","440,142",+159,"27,068,100","+9,981","2,563,005","27,196",,,,,,Asia,,,,
,Europe,,"40,855,991","+35,854","937,594",+855,"28,979,600","+28,755","10,938,797","32,879",,,,,,Europe,,,,
,Africa,,"4,336,627",,"114,877",,"3,885,966",,"335,784","3,240",,,,,,Africa,,,,
,Oceania,,"58,861",+35,"1,151",+1,"34,640",+12,"23,070",5,,,,,,Australia/Oceania,,,,
,,,721,,15,,706,,0,0,,,,,,,,,,
World,"133,733,485","+57,713","2,902,059","+1,650","107,845,283","+43,828","22,986,143","100,888","17,157",372.3,,,,All,,,,
USA,"31,637,243",,"572,849 ",,"24,206,539",,"6,857,855","9,058","95,153","1,723","413,478,674","1,243,583","332,489,703 ",North America,115801
Brazil,"13,197,031",,"341,097 ",,"11,664,158",,"1,191,776","8,318","61,750","1,596","28,600,000","133,822","213,716,460 ",South America,166277
India,"12,928,574","+2,513","166,892 ",,"11,851,393","+2,488","910,289","8,944","9,299",120,"252,677,379","181,732","1,390,382,831 ",Asia,"1088,3316"
France,"4,841,308",,"97,722 ",,"301,299",,"4,442,287","5,626","74,044","1,495","67,791,157","1,036,811","65,384,318 ",Europe,146691
Russia,"4,606,162",,"101,480 ",,"4,229,480",,"275,202","2,300","31,553",695,"122,300,000","837,772","145,982,499 ",Europe,"321,4391"
UK,"4,367,291",,"126,927 ",,"3,932,777",,"307,587",469,"64,075","1,862","132,141,580","1,938,717","68,159,282 ",Europe,165371
Italy,"3,700,393",,"112,374 ",,"3,040,182",,"547,837","3,683","61,271","1,861","51,755,739","856,975","60,393,531 ",Europe,165371
Turkey,"3,633,925",,"32,943 ",,"3,194,978",,"406,004","2,604","42,735",387,"40,385,250","474,936","85,033,013 ",Asia,"232,5812"
Spain,"3,326,736",,"76,037 ",,"3,085,059",,"165,640","2,009","71,132","1,626","43,458,915","929,231","46,768,680 ",Europe,146151
Germany,"2,927,572",,"78,174 ",,"2,631,400","+16,900","217,998","4,439","34,856",931,"51,559,277","613,878","83,989,395 ",Europe,"291,0742"
Colombia,"2,479,617",,"64,767 ",,"2,345,471",,"69,379","2,603","48,338","1,263","13,042,268","254,247","51,297,612 ",South America,217924
Poland,"2,471,617",,"55,703 ",,"2,054,697",,"361,217","3,342","65,361","1,473","12,588,747","332,906","37,814,773 ",Europe,156793
